Tahun;Harga;Lokasi;Kamar Tidur;Kamar Mandi;Luas Lahan;luas bangunan
2017;315;1;2;1;88;36
2021;680;4;3;1;97;60
2016;295;8;2;1;36;64
2018;235;9;2;1;73;30
2020;485;10;3;1;91;55
2018;287;1;2;1;72;36
2019;327;10;2;1;84;36
2020;290;10;2;1;74;36
2018;287;1;2;1;71;36
2017;278;1;2;1;71;36
2018;227;8;3;2;72;78
2019;550;1;2;1;45;72
2020;325;10;2;1;36;72
2018;475;1;3;1;45;72
2017;685;1;2;1;45;72
2019;270;10;2;1;36;78
2019;260;3;3;1;36;79
2018;255;8;2;1;45;72
2022;549;1;2;1;36;72
2017;585;2;2;1;36;69
2019;280;1;2;2;60;80
2019;350;8;2;1;45;72
2018;598;1;2;1;36;64
2022;480;10;2;1;36;84
2023;556;1;3;1;54;84
2022;495;1;5;3;120;126
2020;270;5;2;1;36;72
2017;260;14;2;1;60;120
2021;260;2;2;1;36;72
2016;260;7;3;1;60;120
2018;350;4;2;1;45;72
2020;350;3;3;1;36;72
2018;270;1;2;1;36;77
2019;592;1;2;1;45;72
2010;270;1;2;1;72;78
2023;350;2;2;1;36;72
2022;325;10;5;2;60;120
2019;250;1;3;1;36;72
2020;595;1;3;1;36;77
2017;299;1;2;3;36;72
2021;645;2;3;2;72;78
2016;200;5;2;1;36;72
2018;645;14;2;1;36;72
2020;370;2;3;1;36;77
2018;255;7;2;1;60;120
2019;550;4;3;2;36;72
2020;299;3;2;1;45;72
2014;200;1;3;3;36;72
2017;299;1;2;2;36;69
2014;645;1;2;1;36;64
2012;550;2;3;2;36;78
2019;730;10;2;1;36;79
2018;645;1;2;1;36;84
2016;550;1;2;2;36;72
2015;689;1;5;2;60;120
2012;730;2;4;2;36;72
2015;585;2;5;1;72;78
2018;685;8;3;2;45;72
2016;475;9;2;1;60;80
2017;275;4;2;1;45;72
2019;550;11;2;1;36;72
2016;275;12;3;3;36;69
2018;270;10;4;1;36;64
2017;555;7;2;1;36;78
2016;680;6;3;1;36;79
2018;495;13;2;1;60;80
2019;475;3;1;3;36;72
2016;645;5;2;3;36;84
2015;260;2;2;3;36;72
2018;255;14;2;1;60;120
2017;260;12;5;2;36;72
2016;255;9;3;1;36;77
2015;357;8;2;2;36;81
2018;470;1;2;1;60;82
2014;270;10;4;3;45;72
2012;280;1;5;1;36;72
2013;490;2;3;1;36;69
2016;490;1;2;1;72;83
2014;475;10;3;1;36;84
2017;470;8;3;2;60;85
2013;260;9;3;2;36;86
2023;275;2;4;1;36;64
2022;235;6;2;2;36;84
2023;680;4;3;2;36;72
2017;235;3;3;2;72;87
2018;670;13;2;1;36;88
2015;550;13;3;1;36;77
2022;559;10;3;2;36;78
2018;550;10;3;3;60;84
2017;550;2;4;3;36;72
2016;350;2;2;1;45;72
2018;200;4;3;2;60;89
2019;486;1;3;1;36;90
2016;640;1;3;1;45;91
2015;485;1;2;1;36;79
2018;545;5;2;1;60;80
2017;545;1;5;3;45;78
2016;720;1;4;2;45;72
2015;720;1;2;3;36;72
2018;350;1;2;2;36;92
2014;560;10;3;2;36;93
2012;480;6;2;2;36;94
2013;575;7;3;3;60;84
2016;730;3;4;3;36;72
2014;580;3;3;3;36;69
2017;689;5;4;1;36;64
2013;550;5;2;1;36;95
2023;580;10;3;1;45;72
2023;594;1;2;1;36;72
